edition,source_file,row_id,team_name,demand_text,level_1,level_2,normalized_scenario,user_role_guess,problem_type,request_type,strategic_relevance,decision_bucket,data_quality,notes
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00001,石首袁方,工作日志用于多个项目管理,项目与任务管理,多项目组合管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00002,霄腾项目张17306725662的企业,机械设备行业设计加工生产整改发货,生产与制造管理,生产交付协同,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00003,七月的企业,哈哈哈,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00004,月剑的企业,供应商采购项目管理,供应链与仓储物流,物料采购管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00005,深圳市欧亿光电技术有限公司,WU,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00006,王鹏飞的企业,项目管理,项目与任务管理,项目台账管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00007,印花社,新媒体客户管理,客户、销售与订单,客户信息管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00008,邝永烽的企业,多项目人力工作负荷管理,人力与组织管理,工时与人员负荷管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00009,泰豪科技股份有限公司,采购物料到位跟踪,供应链与仓储物流,物料采购管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00010,数据驱动,123,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00011,四川中能银运维科技有限公司,工程项目管理,工程与施工管理,工程进度管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00012,施工管理,工程项目管理,工程与施工管理,工程进度管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00013,恬恬的家,会议管理,协同办公与流程审批,会议与纪要管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00014,陕西钜德建筑劳务有限公司,项目管理,项目与任务管理,项目台账管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00015,项目管理公司,工程项目管理,工程与施工管理,工程进度管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00016,前哨科技发展部,产品开发项目,研发与产品管理,产品开发管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00017,WPS_1631795849的企业,12,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00018,江西启晨项目管理有限公司,造价咨询项目业务登记、流程跟踪、开票、回款、项目档案归档,财务、合同与结算,发票与结算管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00019,西西安的企业,战略任务分解及每周跟进,项目与任务管理,项目进度跟踪,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00020,巴陵石化大成检修安装有限责任公司--工程公司,项目进度、质量、安全、费用管理,项目与任务管理,项目进度跟踪,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00021,毛毛的企业,销项进项人工工资已收已付未收未付,财务、合同与结算,收付款与回款管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00022,yananxu,甘特图,项目与任务管理,甘特图与排期可视化,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00023,xiaorong的企业,风电厂家现场安装、调试、运维管理,服务、工单与运维,安装与实施交付,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00024,今日事 今日必,餐饮公司行项目行政团队工作任务分配管理系统,协同办公与流程审批,行政事务管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00025,cylong的企业,土木工程项目管理,工程与施工管理,工程进度管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00026,赵亮的企业,项目订单的收付款、未收款、付款节点、收付发票等信息，及项目状态情况跟踪,财务、合同与结算,发票与结算管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00027,国宏工具系统(无锡)股份有限公司,先不用,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00028,Q的企业,时间轴任务规划,项目与任务管理,里程碑管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00029,冉金玲的企业,应收总看板,数据分析与经营看板,可视化看板,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00030,承欢-的企业,大数据实时监控与异常预警分析系统,数据分析与经营看板,异常预警分析,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00031,迈拓维精密仪器制造河北有限公司,机械加工类项目研发、生产任务跟踪,生产与制造管理,制造进度跟踪,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00032,命运的企业,项目,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00033,传媒学院,建筑业,工程与施工管理,装修装饰项目管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00034,默默的企业,生成干特步,项目与任务管理,甘特图与排期可视化,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00035,小丸子的企业,研发项目管理,研发与产品管理,研发项目管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00036,河北筑鸿水利机械有限公司01,1111,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00037,黄沈茂的企业,我做研华工控机销售,客户、销售与订单,客户跟进管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00038,,客户记录,,,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00039,我是你越哥啊的企业,共享文档会记录每天新增的数据，根据表格新增数据自动填入文档设置好的表格，比如表格名字字段新增为小李填入文档模板名字后面，以此类推。填入文档做好文件,协同办公与流程审批,文档与档案管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00040,@的企业,汽车项目-任务跟进,项目与任务管理,项目复盘与总结,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00041,SCI科学社,记录在进行的项目，待进行的项目的时间和主要负责人,项目与任务管理,项目计划管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00042,辽宁极课教育科技有限公司,学校内部项目管理,项目与任务管理,项目计划管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00043,徐州医科大学附属医院,科研试剂采购平台,研发与产品管理,打样与试制管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00044,21:56:00,建筑行业,工程与施工管理,装修装饰项目管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00045,吸烟有限公司,行政内部使用,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00046,深圳市江恒耀实业有限公司,阿达,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00047,loverboy的企业,劳务合同,财务、合同与结算,合同与招投标管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00048,zz的企业,会计出纳记账,财务、合同与结算,收付款与回款管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00049,Allison的企业,共管系统排期甘特图,项目与任务管理,甘特图与排期可视化,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00050,华西设计公司项目进度管理,项目时间节点提醒，建议是一个日历，通过日历标注项目时间节点，并设置提醒,项目与任务管理,里程碑管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00051,长沙市德邦环保工程技术有限公司,工程项目,工程与施工管理,工程进度管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00052,测绘调查代理部,项目管理,项目与任务管理,项目台账管理,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00053,赵明水的企业,项目,无,无,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00054,Edon Marketing Team,用于展会项目管理，以及社媒渠道运营管理,客户、销售与订单,电商与门店运营,,,,,,,,
enterprise,WPS项目管理企业版需求聚类分析.md,enterprise-00055,tonykuer,软件公司项目进度、员工任务工作分解、员工任务完成进度考核,项目与任务管理,项目进度跟踪,,,,,,,,
