edition,source_file,row_id,team_name,demand_text,level_1,level_2,normalized_scenario,user_role_guess,problem_type,request_type,strategic_relevance,decision_bucket,data_quality,notes,quality_reasons,exact_duplicate_flag,exact_duplicate_count
personal,WPS项目管理个人版需求聚类分析.md,personal-00001,热爱生活的肥肥丶的团队,我想制定个人的短中长期计划，以及日常工作打卡内容,个人规划与日程管理,个人规划与日程管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00002,軍的团队,汽车零部件开发项目,研发与产品管理,产品开发管理,,,,,,,valid,,,yes,2
personal,WPS项目管理个人版需求聚类分析.md,personal-00003,陆的团队,电力建设工程，工程进度，每日工程量、使用人工统计,数据分析与经营看板,统计汇总与经营分析,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00004,时迁.的团队,发展团员,党建纪检与党务管理,党建纪检与党务管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00005,メ£ee的团队,解决项目管理甘特图问题,项目与任务管理,甘特图与排期可视化,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00006,老虎的团队,任务分解、进度跟踪,项目与任务管理,任务分配与协同,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00007,Later.的团队,创意提报、分镜头审核、视频内容审核,内容制作与直播运营,内容制作与直播运营,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00008,TANG  的团队,团播运镜团从开始排练到起流阶段到打PK阶段,内容制作与直播运营,内容制作与直播运营,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00009,李江涛的团队,新建工业厂房施工进度计划,工程与施工管理,工程进度管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00010,张卫  的团队,销售与工程项目,客户、销售与订单,商机与销售过程管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00011,胡望泽律师的团队,案件管理,法务案件与诉讼管理,法务案件与诉讼管理,,,,,,,valid,,,yes,3
personal,WPS项目管理个人版需求聚类分析.md,personal-00012,iszboss的团队,项目管理,项目与任务管理,项目台账管理,,,,,,,valid,,,yes,398
personal,WPS项目管理个人版需求聚类分析.md,personal-00013,君的团队,建筑和室内设计项目,工程与施工管理,工程进度管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00014,Z周的团队,工作进度,项目与任务管理,项目进度跟踪,,,,,,,valid,,,yes,2
personal,WPS项目管理个人版需求聚类分析.md,personal-00015,哇哈哈的团队,项目问题反馈和解决,项目与任务管理,项目复盘与总结,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00016,P_yellow的团队,设备制造，需要把控材料进货计划，供应商供货进度，车间设备完成进度，材料剩余盘库统计等,数据分析与经营看板,统计汇总与经营分析,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00017,锐发的团队,表格整理分析，需要知道每个月的什么项目升降,项目与任务管理,项目复盘与总结,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00018,观看海绵宝宝不想换的团队,0,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|very_short_text|no_chinese_text,yes,16
personal,WPS项目管理个人版需求聚类分析.md,personal-00019,蔡国庆的团队,无,无,无,,,,,,,invalid,,invalid_literal|missing_level_1|missing_level_2|very_short_text,yes,115
personal,WPS项目管理个人版需求聚类分析.md,personal-00020,WPS_1706683974的团队,新产品开发,研发与产品管理,产品开发管理,,,,,,,valid,,,yes,2
personal,WPS项目管理个人版需求聚类分析.md,personal-00021,一樹梨花壓海棠的团队,有13台数控精密五金加工机器，没有管理，没有产能，生产合格率低,生产与制造管理,生产计划管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00022,张金海的团队,环保管家业务,环保与环评管理,环保与环评管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00023,林家叶子的团队,表格统一管理,协同办公与流程审批,台账与登记管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00024,夕善的团队,为规范公路工程项目劳资管理全流程，提升数据归集效率与信息追溯性，需创建一套涵盖工人信息管理、合同与结算资料归档、工资核算及支付跟踪的个人工作模板，具体包含以下模块及功能定义：,协同办公与流程审批,待办与提醒管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00025,,1. 工人基础信息台账模板,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00026,,设计标准化表格，预设字段包含：姓名、身份证号、住址、性别、工种、出生年月日、联系电话、银行账号、开户银行、行号、民族，支持直接录入或批量导入数据，关联身份证正反面照片、银行卡照片等电子附件存储路径，实现“一人一档”信息整合，便于快速查询工人基础信息。,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00027,,2. 工人工资核算表模板,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00028,,关联工人基础信息台账，自动调取姓名、工种等数据，预设出勤天数、应发工资（关联工种单价公式）、扣税（嵌入个税计算逻辑）、实发工资（自动计算）等字段，支持按班组/月份筛选统计，生成可直接用于工资发放的明细报表。,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00029,,3. 班组合同管理模板,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00030,,建立合同登记台账，包含班组名称、合同编号、签订日期、合同期限、涉及工人数量等核心信息，关联合同扫描件存储链接，设置合同到期提醒功能，实现合同签署状态、有效期的动态跟踪。,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00031,,4. 班组结算资料归档模板,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00032,,设计结算表台账（含结算周期、工程量、结算金额、审批状态等字段），同步关联结算表P,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00033,孙子雯的团队,我是做人力资源的，现在手里有几个项目，需要发给合作伙伴渠道，让他们进行合作招聘,人力与组织管理,培训与人才发展管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00034,飞天白狼的团队,研发项目进展,研发与产品管理,研发项目管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00035,唐尸三摆手的团队,多人进度同步,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00036,站台的团队,工程量、进度,工程与施工管理,工程进度管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00037,倪清兰的团队,甘特图,项目与任务管理,甘特图与排期可视化,,,,,,,valid,,,yes,49
personal,WPS项目管理个人版需求聚类分析.md,personal-00038,死神1416193545的团队,半导体新封装开发,研发与产品管理,产品开发管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00039,WPS_1671013005的团队,1,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|very_short_text|no_chinese_text,yes,365
personal,WPS项目管理个人版需求聚类分析.md,personal-00040,WPS_1671013005的团队,1,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|very_short_text|no_chinese_text,yes,365
personal,WPS项目管理个人版需求聚类分析.md,personal-00041,袁的团队,名称：个人项目管理,协同办公与流程审批,台账与登记管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00042,,业务：企业环境环境影响评价报告表,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00043,,过程：看现场、收集资料、核对资料完整度、开始编写、编写完成核对、完成上交、政府审批、修改、完成,,,,,,,,,weak,,missing_level_1|missing_level_2,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00044,梁奇的团队,各大童装商超在我这边选好款式后，我们进行 报价 封样 下单 配辅料 配面料 大货生产 水洗 后道整理 发货等一系列流程，现在需要多个管理员来共享整个项目进度，各岗位的人完成自己的工作后勾选进度，让管理员可以看到每个款式做到哪一步了。,生产与制造管理,生产交付协同,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00045,马鹏宇的团队,项目进度管理,项目与任务管理,项目进度跟踪,,,,,,,valid,,,yes,58
personal,WPS项目管理个人版需求聚类分析.md,personal-00046,中治_arLo的团队,我是一名秘書，負責匯總每年約98項目的系統開發設備採購等的項目，我需要或分主項目，子項目，上呈的建議書，立項，審批，時間表，進度表等。,项目与任务管理,项目台账管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00047,WPS_1662800840的团队,教育管理系统,教育教务与学习管理,教育教务与学习管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00048,哩离李栗的团队,我想把基建档案的信息汇总成台账,协同办公与流程审批,台账与登记管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00049,1的团队,1,无,无,,,,,,,invalid,,invalid_literal|digits_only|missing_level_1|missing_level_2|very_short_text|no_chinese_text,yes,365
personal,WPS项目管理个人版需求聚类分析.md,personal-00050,Nayuta的团队,石油化工建设化工常压罐区设计变更，污染雨水管线新增电动阀,工程与施工管理,工程进度管理,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00051,Kang Zhenxing的团队,项目横道图,项目与任务管理,甘特图与排期可视化,,,,,,,valid,,,yes,2
personal,WPS项目管理个人版需求聚类分析.md,personal-00052,阿瑞的团队,项目比较多，需要对项目生产过程进行跟踪，了解,生产与制造管理,制造进度跟踪,,,,,,,valid,,,no,1
personal,WPS项目管理个人版需求聚类分析.md,personal-00053,Arvin阳光的团队,录入项目进度计划生成项目进图计划航道图,项目与任务管理,项目进度跟踪,,,,,,,valid,,,no,1
